started,extinguished,counties,latitude,longitude,acresBurned,precipIntensity,precipIntensityMax,precipProbability,dewPoint,humidity,windSpeed,windGust,windBearing,uvIndex,temperatureMin,temperatureMax,cloudCover,visibility,pressure,wildfireIntensity
2015-06-25T18:30:00Z,2015-06-29T09:00:00Z,San Bernardino,34.16597,-117.244,100,0.00054,0.00558,0.11,43.198,0.262,3.322,11.074,228.2,9,70.954,94.33,0.264,8.5908,1012.14,Low
2015-07-10T12:41:00Z,2015-07-15T07:00:00Z,San Luis Obispo,35.7183,-121.016,95,0,5.00E-05,0.006667,52.895,0.673333,3.825,14.8,267.6667,10.83333,53.92833,77.36333,0.143333,9.957667,1013.183,Low
2015-07-12T14:46:00Z,2015-07-21T07:20:00Z,San Bernardino,34.07835,-117.049,54,0.00605,0.03938,0.279,49.597,0.491,3.239,13.99,225.9,9.6,60.125,86.732,0.248,9.3412,1012.82,Low
2015-07-17T14:33:00Z,2015-07-21T07:00:00Z,San Bernardino,34.339,-117.478,4250,0.01286,0.09968,0.582,51.318,0.572,3.812,14.568,211.8,9.2,60.616,83.708,0.408,7.9054,1013.06,High
2015-07-17T21:30:00Z,2015-08-04T08:15:00Z,Los Angeles,34.367,-117.683,200,0.005021,0.040942,0.231579,45.57316,0.588421,2.413158,11.55105,203.4211,10.52632,52.60947,73.65368,0.238421,9.140842,1012.016,Low
2015-07-21T12:35:00Z,2015-07-26T10:30:00Z,Tulare,36.08521,-118.824,430,0.001067,0.013417,0.151667,52.395,0.403333,3.596667,12.87333,256.6667,11,68.32667,91.8,0.01,9.997,,Medium
2015-07-23T14:00:00Z,2015-07-29T14:15:00Z,El Dorado,38.776,-120.404,75,2.86E-05,0.000229,0.022857,38.75429,0.337143,3.184286,13.55286,203.2857,10.57143,59.32714,82.48143,0.114286,6.813571,1016.743,Low
2015-07-23T16:40:00Z,2015-07-26T10:10:00Z,Modoc,41.29226,-121.172,116,0.0086,0.128425,0.4625,36.1125,0.4025,2.1775,9.7925,205,,44.635,81.275,,,,Low
2015-07-24T23:00:00Z,2015-08-01T21:45:00Z,Humboldt,41.29567,-123.784,158,1.11E-05,0.000178,0.023333,49.86778,0.66,3.55,13.45,170.7778,8.777778,49.96778,82.12444,0.312222,9.161111,1017.022,Low
2015-07-25T14:30:00Z,2015-08-13T10:30:00Z,Madera,37.27972,-119.5,5702,1.05E-05,0.000174,0.014737,46.96632,0.379474,1.928421,10.66211,258.8947,0,62.38105,90.04053,,,,High
2015-07-25T14:37:00Z,2015-08-12T19:15:00Z,Nevada,39.19209,-120.882,2304,3.68E-05,0.000411,0.015789,44.96579,0.362105,2.407368,12.61474,217.1053,9.894737,62.62842,89.25211,0.045263,7.605579,1012.063,Medium
2015-07-28T17:19:00Z,2015-07-31T19:00:00Z,Humboldt,40.1093,-123.774,16,5.00E-05,0.000525,0.0075,48.6825,0.5275,2.1175,12.905,124.25,0,49.9275,98.81,,,,Low
2015-07-29T11:25:00Z,2015-08-03T17:00:00Z,Butte,39.43963,-121.388,400,3.33E-05,0.000333,0.015,48.41667,0.335,4.018333,12.60167,204.5,9.833333,68.98667,97.29167,0.016667,9.835333,1011.617,Medium
2015-07-29T16:30:00Z,2015-08-04T18:00:00Z,Tuolumne,37.823,-120.156,204,0,2.86E-05,0.002857,44.40857,0.305714,2.785714,12.07571,258.1429,10.42857,66.07143,93.21714,0.09,9.952286,,Low
2015-07-29T17:55:00Z,2015-08-01T19:00:00Z,Shasta,40.41511,-122.44,212,0,0,0,41.2425,0.2175,4.4275,13.625,278.5,10,71.395,106.8825,0.0125,9.997,1011.2,Medium
2015-07-30T12:40:00Z,2015-08-05T17:45:00Z,Tulare,36.49845,-118.901,86,2.86E-05,0.000229,0.02,51.50571,0.344286,3.301429,13.59429,187.4286,10.28571,71.88143,96.93143,0,9.899,,Low
2015-07-30T13:36:00Z,2015-08-03T08:55:00Z,Mendocino,39.43301,-123.363,50,0.0001,0.00132,0.168,51.88,0.584,2.376,14.642,289.8,10,53.218,89.924,0.026,9.997,1012.66,Low
2015-08-10T11:44:00Z,2015-08-15T17:30:00Z,Riverside,33.5736,-116.539,543,1.67E-05,0.000583,0.003333,45.40833,0.385,3.843333,15.005,215.1667,10.83333,58.21833,87.62333,0.081667,9.994167,1009.1,Medium
2015-08-13T16:15:00Z,2015-08-18T07:15:00Z,Calaveras,38.052,-120.558,114,0.000167,0.0023,0.046667,44.17167,0.326667,2.628333,11.745,270.3333,9.833333,61.805,96.81167,0.068333,9.997,,Low
2015-08-16T18:13:00Z,2015-08-28T18:15:00Z,San Luis Obispo,35.3477,-120.627,2446,0,6.15E-05,0.006154,54.94923,0.75,4.118462,15.65077,278,9.846154,53.24769,79.23846,0.282308,9.289846,1013.231,High
